job_id,company_name,title,job_types,duties_clean,skills_clean,benefits_clean,detail_text_clean
312239,유한킴벌리(주),[유한킴벌리] 2026년 유한킴벌리 신입 및 경력사원 채용,"EXPERIENCED, NEW, CONTRACT","고객사업부문 플랫폼 마케터 경력 채용 | 마케팅/광고/홍보 | 마케팅/PR/분석 | 전시/컨벤션 | 마케팅전략/기획 | 광고기획 | 온라인마케팅 | 시장조사/분석 | 브랜드매니저 | 해외마케팅 | 언론홍보/PR | 설문/리서치 | 전시기획 | 회의/컨벤션/세미나 | 유한킴벌리에 지원하신 동기와, 입사 후 포부를 단기(5년 이내)와 장기(10년 이상)로 나누어 작성해 주세요. | · 지원자님을 가장 잘 표현할 수 있는 성장 경험을 예를 들어 작성해 주세요. (학교생활, 인턴·아르바이트 경험, 직장 경험 등) | · 데이터 분석 또는 AI 툴을 활용하여 학업, 업무, 또는 일상생활을 개선한 경험을 작성해 주세요. (활용한 툴, 적용 목적, 문제 해결 과정, 성과 및 배운 점을 포함) | · 그동안 쌓아온 직무 경험과 인턴십을 포함한 실무 경험 전반을 작성해 주세요. 특히 해당 과정에서 발휘한 역량, 습득한 기술, 성과 등을 중심으로 소개해 주시면 좋습니다. | [유한킴벌리] 2026년 유한킴벌리 신입 및 경력사원 채용 | 고객사업부문 플랫폼 마케터 신입 채용 | 서초연구소 Research Scientist(육아용품 제품개발) 계약직 채용 | 연구개발/설계 | 자동차/조선/기계 | 반도체/디스플레이 | 화학/에너지/환경 | 전기/전자/제어 | 기계설계/CAD/CAM | 통신기술/네트워크구축 | 바이오/제약/식품 | 자동차 | 조선 | 기계 | 반도체 | 디스플레이 | 화학 | 에너지 | 환경 | 화장품 | 전기/전기설비 | 전자 | 공정/품질/테스트 | 기계설계 | CAD | CAM | 바이오 | 제약 | 의약품 | 식품가공/개발",,,2026 Ŵ » ä 1 DNA Ư ֽ ϴ . # Ȱ ǰ # 귣 尡ġ ְ # Ӱ ɰ濵 õ ȹ ι Data Scientist ä Ⱓ : 26.03.12~26.04.02 6 ñ ʿ ?Research Scientist ( ǰ ǰ )? ä Ⱓ : 26.03.24~26.04.07 6 ñ ι ä Ⱓ : 26.03.25~26.04.09 6 ñ ʿ ?Research Scientist ( ƿ ǰ ǰ )? ä Ⱓ : 26.03.26~26.04.09 6 ñ ι ÷ ä Ⱓ : 26.03.27~26.04.10 6 ñ
312238,삼보모터스,[삼보모터스]  2026년 글로벌 사업본부 채용,"NEW, EXPERIENCED",,,,[삼보모터스] 2026년 글로벌 사업본부 채용 [모집직무] 글로벌 비즈니스2팀 (신입) 글로벌 프로그램 운영팀 (신입) 글로벌 비즈니스1팀 (경력) 글로벌 비즈니스2팀 (경력) [접수기간] 2026.04.12 오후 11:59까지
312237,동성인재개발교육원,[부산무역학원] 기업맞춤 국제무역물류 협약기업멘토링 교육과정,,,,,"협약기업과 함께하는 기업 맞춤형 국제무역물류 실무자 양성 과정 개강합니다. 실무 중심 교육+자격증 대비+기업 프로젝트+현직자 멘토링까지 한 번에 준비할 수 있는 취업 특화 과정입니다. 개강일 : 2026.05.19 교육기관 : 동성인재개발교육원 [과정특징] ✔ 실무+자격증+기업맞춤 프로젝트 운영 ✔ 협약기업 현직자 멘토링 진행 ✔ 1:1 취업지원 및 컨설팅 ✔ 매월 훈련수당 지급 [자격증 대비 가능] ✔ 국제무역사 1급 ✔ 무역영어 1급 ✔ ERP물류정보관리사 ✔ FTA원산지실무사 실무 이론뿐 아니라 실제 업무에 바로 적용 가능한 무역/물류 프로세스 중심으로 교육이 진행됩니다. 부산 지역 무역/물류/항만 기업 취업을 준비하는 분들에게 추천드립니다. 본 과정에 궁금하신 분은 아래 유선문의,또는 홈페이지 내용 참고 문의:051-933-3400 홈페이지 지원: https://www.dshrd.or.kr/course_a.html?eduPart=3"
312236,주식회사 송지랩스 ,[퓨어루] 영유아 스킨케어 브랜드 사업운영 및  MD(주니어) 모집,EXPERIENCED,,,,"[퓨어루] 영유아 스킨케어 브랜드 운영 및 MD 주니어 모집 접수 기간 2026-04-01 ~ 채용 시 마감 모집부문 및 상세내용 모집부문 채용구분 담당업무 우대조건 [퓨어루] 영유아 스킨케어 브랜드 정규직 MD (0명) 경력 사원,선임연구원 담당업무 안녕하세요. 송지랩스는 무자극 영유아 스킨케어 브랜드 퓨어루를 운영하는 회사입니다. 민감한 피부를 가지고 태어난 사람이 평생 피부에 대한 고민 없이 편안한 삶을 살 수 있도록 돕는 것을 목표로 합니다. 순한 식물성 원료를 최적의 비율로 담아, 생애 주기에 맞춘 건강하고 안전한 평생의 스킨케어 솔루션을 제공합니다. [퓨어루]는 영유아 스킨케어 브랜드로, 안전하고 믿을 수 있는 제품을 통해 부모님들의 신뢰를 얻고 있어요. 이번에 모집하는 MD는 다양한 판매 채널을 관리하고, 판매 전략을 기획하며, 외부 파트너와의 협업을 통해 브랜드의 성장을 이끌어갈 중요한 역할을 맡게 됩니다. 퓨어루 MD는 단순히 채널을 관리하는 역할이 아니에요. PM과 긴밀하게 협업하며 브랜드의 방향을 함께 만들어가는 포지션입니다. [아래에 해당하는 분이라면 저희랑 잘 맞을 거예요.] • 일을 구조적으로 정리하는 편이에요 해야 할 일이 많아도 스스로 우선순위를 잡고 차근차근 해내는 스타일이에요. • 문제가 생기면 일단 방법부터 찾아요 막히는 상황에서도 ""어떻게 하면 될까?""를 먼저 생각하는 분이면 좋겠어요. • 피드백을 편하게 주고받을 수 있어요 잘한 것도, 아쉬운 것도 솔직하게 함께 나눌 수 있는 분이면 더 잘 맞을 것 같아요. • 누군가와 함께 일해본 경험이 있어요 팀 협업이든, 사이드 프로젝트든 타인과 함께 무언가를 만들어본 경험이 있는 분이요. • 브랜드에 관심이 많아요 이 브랜드는 왜 잘 됐을까, 이 캠페인은 왜 반응이 좋았을까 같은 걸 자연스럽게 궁금해하는 분이요. •호기심이 원동력이에요 ""왜 이게 팔릴까?"", ""우리 고객은 어떤 사람일까?"" 이런 질문을 스스로 던지고 답을 찾으려는 분이라면 딱이에요. 주요업무 [판매 채널 운영 및 관리] • 스마트스토어, 자사몰, 폐쇄몰 등 멀티 채널 상품 등록 및 운영 관리 • 채널별 상품 페이지 세팅 점검 (썸네일 개편, 배너·등록, 상세페이지 교체, 이벤트 관리 등) • 채널별 발주 업무 및 재고 현황 관리 [프로모션 실행] • 자사몰 월별 프로모션 기획 (PM과 협업하여 방향 수립) • 기획전, 할인 이벤트, 시즌 캠페인 등 세팅 및 운영 보조 [CRM / 마케팅 메시지 운영] • 정기 CRM 메시지 (카카오 알림톡, 문자, 이메일 등) 주제 기획 및 발송 관리 • 고객 세그먼트별 메시지 전략 고민 및 실행 • 메시지 발송 결과 데이터 분석 및 전략 설정 [판매 분석 및 데이터 관리] • 채널별 매출 데이터 정기 취합 및 리포트 정리 • 상품별 판매 성과 분석 (잘 팔린 이유 / 안 팔린 이유 파악) • 분석 결과를 프로모션 및 다음 기획에 반영 [라이브커머스 기획·운영] • 네이버 쇼핑라이브 기획, 진행 및 사후 성과 관리 • 방송 콘셉트, 스크립트, 판매 상품 구성 등 준비 • 외주사와의 협업 [외주 및 파트너사 커뮤니케이션] • 디자인, 인쇄물 등 외주 작업 의뢰 및 일정·품질 관리 • 외부 파트너사,외주 디자이너와의 원활한 소통과 협업(필수) [오프라인 행사 참여 및 운영] • 베이비페어 등 오프라인 행사 기획 보조 및 현장 운영 참여 • 행사별 상품 구성, 진열, 판매 지원 등 돌발 업무 대응 자격요건 • 관련 분야에서 2~5년의 경력을 보유하신 분 • 외주사 및 파트너사와의 다수의 커뮤니케이션 경험 • 영유아 스킨케어 / 뷰티 브랜드 MD 경험자 • 멀티 채널 운영 및 관리 경험이 있으신 분 혜택 및 복지 • 출근 시간은 09~10시 사이 자율 출퇴근 • 운동 & 취미생활 복지 지원 • 노트북, 데스크탑 등 최고 사양의 장비 지원 • 데스크테리어 포인트 20만원 제공 — 내 공간, 내 취향으로 • 점심 지원 (1.3만원) — 매일 든든하게 • 휴가(연차,반차) & 경조사비, 눈치 없이 자유롭게 사용 가능 우대사항 • 영유아 스킨케어 제품에 대한 이해도가 높으신 분 • 노션, 미리캔버스, 디자인(포토샵,일러스트 등), AI 툴 등 업무 툴을 적극적으로 활용해본 분 • 스타트업 또는 초기 브랜드에서 신규 서비스·상품 출시를 경험해본 분 • 라이브커머스 기획 및 운영 경험이 있으신 분 • 외주 협업 및 파트너사와의 커뮤니케이션 능력이 뛰어나신 분 • 데이터 분석 및 리포트 작성 능력이 뛰어나신 분 • 의사소통 능력이 뛰어나신 분 자격요건 학력 학력무관 근무조건 급여 면접 후 급여 결정, 회사 내규에 따름 근무시간 탄력근무제 근무지역 서울 구로구 가마산로 242 505호 전형 절차 Step 1 서류전형 Step 2 1차 면접 Step 2 최종합격 지원 기간 및 방법 접수기간 2026-04-01 ~ 채용 시 마감 접수방법 링커리어 간편지원 복리후생 연차, 반차, 창립일휴무, 수평적 호칭사용, 야근강요 안함, 자유복장, 생일엔 조기퇴근, 회식은 점심에, 점심식사 제공, 음료, 간식 제공, 여성전용휴게실 문의 이메일 jhpark@sj-labs.kr 유의사항 허위 사실이 발견될 경우 채용이 취소될 수 있습니다."
312235,(주)삼구아이앤씨,신세계인터내셔날 코스메틱 수입브랜드2팀 AMD 인턴 모집,INTERN,,,,"﻿ 신세계인터내셔날 코스메틱 수입브랜드2팀 AMD 인턴 모집 1. 소속: 수입브랜드2팀 2. 담당 브랜드: 퍼퓸/바디 브랜드(MEMO 등) 3. 채용구분: 삼구아이앤씨 소속 파견계약직 체험형인턴(정규직 전환 불가) 4. 채용기간: 채용시점 기준 약 10개월 (* 계약 기간 엄수) 5. 근무시간: 주 5일 (월-금) / ( 09:00~17:00 , 점심시간 1시간 포함) 6. 근무 위치: 서울시 중구 장충단로 180 신세계 남산 사옥 7. 담당업무 (Research Assistant) - MD 업무 보조 및 온라인몰 관리 8. 채용절차 구분 내용 세부내용 비고 1차 서류전형 ~ ASAP 이력서 1부, 자기소개서 1부(자유양식) 포트폴리오 1부(10MB이내) wonjeilee@sikorea.co.kr (제목: 수입2팀 인턴 지원 (이름, 전화번호) 2차 대면면접 ~ ASAP 대면 면접 서류전형 합격자 개별 연락 근무 전임자 개인사정 퇴사로 4월 빠른 출근 희망 10개월 근무가능자 출근 일정 변동 될수 있음 * 면접 및 출근 일자 변동 가능 / 채용 전환이 되지 않는 인턴십입니다. 9. 우대자격 - 4월 중 면접 및 근무 시작 가능 인원 - 엑셀 업무 가능자 - 포토샵, 일러 업무 가능자 우대 10. 급여: 월 1,888,590원 ( 7H근무.세전기준 ) / 4대보험. / 연차 / 점심 무료 제공 등 ﻿"
312234,오티스엘리베이터,"[오티스엘리베이터] 해외사업부 Sigma 영업사원 (신입,경력직/서울)","NEW, EXPERIENCED",,,,"[오티스엘리베이터] 해외사업부 Sigma 영업사원 (신입,경력직/서울) [모집직무] Sigma 영업 [지원 자격] . 신입 또는 경력사원(해외영업) . 학력: 4년제 대학교 이상 졸업 (즉시 근무 가능 시, 졸업예정자 가능) . 효율적인 의사소통 기술과 적극적이고 책임감 있는 마인드 소유자 . 해외시장 개발에 높은 관심과 의지 소유자 . PPT/Excel등 MS Office 활용 우수자 . 유창한 영어 말하기 및 쓰기 능력 . 공학 또는 상공계열 전공 선호 [주요업무] . 중동아프리카 지역 엘리베이터 해외영업 및 대리점 관리 . 월간/연간 판매 계획 수립 및 마케팅 전략 개발 . 프로젝트 견적 및 기술 자료 제공 . 해외 수주 계약 및 생산 일정 관리 . 프로젝트 선적 진행과 in-time 수금 관리 . 고객 제품 claim 처리 & After-sales service 제공"
312233,중앙선거방송토론위원회,2026 대한민국 열린 토론대회 토론 논제 공모,,,,기타,"2026 대한민국 열린 토론대회 토론 논제 공모 2026 대한민국 열린 토론대회의 토론 논제를 공모합니다. 대한민국 국민이라면 누구든지 공모에 참여할 수 있으며, 국민의 관심사를 반영한 정치·사회(선거분야 포함) 전반에 대해 자유롭게 제안할 수 있습니다. ※ 논제명을 기재하고, 추천이유 50자 이상으로 작성(복수 제출 가능) ○참가자격 전국민 누구나 ○접수기간 2026. 4. 1.(수) 09:00 ~ 2026. 4. 14.(화) 18:00 ○접수방법 중앙선거방송토론위원회 홈페이지(https://debates.go.kr/2016_parti/parti01.php) 에 접속하여 온라인 접수 ○경품지급 추첨을 통해 100명 선정하여 모바일 커피 쿠폰 발송 ※ 2026. 4. 30.(목)까지 발송 예정 ○문 의 debates@nec.go.kr"
312232,태안군청,2026 태안 방문의 해 숏폼영상 공모전,,,,상장 수여,"2026 태안 방문의 해 숏폼영상 공모전 공모주제 : 2026 태안 방문의 해 홍보 (장소, 컨셉, 편집 등 제한 없음) 접수자격 : 제한없음(전국 누구나) 접수기간 : 2026. 4. 1. (수) ~ 5. 31. (일) 출품한도 : 1인당 1점 출품규격 : 본인이 직접 촬영한 세로형 영상 - 1080*1920P 이상의 해상도, 30초 이상~1분 미만의 영상으로 V-log, 애니메이션, 모션그래픽, 드론 등 자유 형식의 콘텐츠 응모방법 : 공모전 홈페이지에서 신청서 다운로드 후 신청서와 함께 이메일 접수 이메일 주소 : taeanutube@gmail.com ※ 출품작과 클린본(자막, 나레이션, 디자인이 없는 컷편집본) 제출 필수 발표일정 : 2026년 6월 중 시상규모 대상(1명) 1,000,000원 최우수상 (2명) 500,000원 우수상 (3명) 300,000원 참가상 (5명) 200,000원 유의사항 ① 초상권, 저작권에 문제없는 순수 창작물만 인정 ② 관광지를 제외한 식당, 숙소, 카페 등의 상호명 노출 금지 ③ 작품 접수시 원본과 클린본(무자막) 제출 필수 ④ 표절, 도용 등으로 인한 시비는 응모자 본인에게 1차 책임이 있음 ⑤ 생성형 AI 활용 가능한 범위 : 나레이션, 음원 ⑥ AI를 활용한 이미지, 동영상 사용 금지 문의사항 : 070-4773-3123"
312231,동성인재개발교육원,[일본IT취업] 협약기업 취업연계 자바 풀스택 개발 과정,,,,,"﻿[정보처리산업기사 취득형] 자바 기반 풀스택 개발자 과정 모집 개발자﻿ 취업을 준비하는 분들은 위한 자격증+실무+취업 연계형 국비지원 과정 안내드립니다. [과정개요] 과정명: 정보처리산업기사 취득 자바 기반 풀스책 개발 과정 개강일: 2026.06.09 교육기간: 2026.06.09 ~ 2026.11.20 교육시간: 09:10 ~ 17:50 교육장소: 부산진구 중앙대로 668, 에이원프라자 6층 [과정특징] 1.정보처리산업기사 취득 가능 - ​과정평가형 자격 취득 과정 - 교육 이수 + 평가를 통한 자격증 취득 - 학력·전공 무관 지원 가능 2.자바 기반 풀스택 개발 교육 - ​JAVA 프로그래밍 기초 및 심화 - 웹 개발 (프론트엔드+백엔드) - 데이터베이스 설계 및 활용 - 실무 프로젝트 및 포트폴리오 제작 3.취업 연계 지원 - 국내 IT기업 취업지원 - 일본 현지 협약기업 (주)CAL 취업연계 및 취업 컨설팅 제공 [교육 혜택] - 국민내일배움카드 적용 과정 - 매월 훈련장려금 지급 (약 20~80만원) - 취업 지원 및 컨설팅 제공 [문의 및 접수] 문의전화: 051-933-3400 홈페이지: https://www.dshrd.or.kr/course_a.html?eduPart=1 해당 과정은 정원 마감 시 조기 종료될 수 있으니 관심 있는 분들은 빠르게 문의 해보시길 바랍니다."
312230,인천북부아동보호전문기관(인천북부지부),굿네이버스 아동권리 옹호 10기 서포터즈 모집,,,파워블로거/SNS | 기타,수료증 및 인증서 | 입사시 혜택,"굿 네이버스 아동권리옹호 10기 서포터즈 모집 안녕하세요 ! 저희 굿네이버스 인천북부지부에서 아동권리 옹호에 관심을 갖고 함께 활동해나갈 서포터즈 를 모집합니다 . 모든 아동들이 당연히 누려야 할 권리를 가지는 세상을 위하여 동참해주세요 . < 모집대상 > 아동권리 옹호에 관심있는 누구나 컨텐츠 제작 및 홍 보 활동에 관심 있는 누구나 아동권리 후원사업에 함께할 수 있는 누구나 < 활동기기 간 > 2 개월간 월 단위 활동 * 선착순 모집 < 활동내용 > - 월 1 회 정기 교육 영상 시청 후 인증샷 전송 - 월 1 회 이상 아동권리 옹호 관련 영상 또는 카드뉴스 제작하여 포스팅 ( 인스타그램 , 유튜브 , 블로그 중 선택 ) - 이어서 캠페인에 참여할 차기 서포터 지목 및 해시태그 게시 ( 인스타그램 , 블로그 중 선택 ) < 활동혜택 > - 참여 인증서 발급 - 우수 서포터즈 수상 *신청방법 -지원양식 내 QR 코드를 이용한 신청 https://docs.google.com/forms/d/1sQ9Wb1WJi8L4bmq76-ucVthh1P3PBLRCPRvOsXnxJyI/viewform?edit_requested=true"
